"Path","Files","Lines"
"database/migrations/2023_05_16_114755_file_upload_to_s3.php","1","168"
"app/Http/Controllers/ProjectTemplateMilestoneController.php","1","168"
"Modules/Performance/Observers/KeyResultsObserver.php","1","168"
"app/DataTables/BankTransactionDataTable.php","1","168"
"Modules/Performance/Observers/CheckInObserver.php","1","167"
"app/DataTables/ProposalTemplateDataTable.php","1","167"
"app/Notifications/DailyScheduleNotification.php","1","167"
"app/DataTables/ShiftRotationDataTable.php","1","167"
"app/Http/Controllers/SuperAdmin/FrontSetting/FaqSettingController.php","1","166"
"app/DataTables/DealNotesDataTable.php","1","166"
"app/Models/InvoiceSetting.php","1","165"
"app/Observers/OrderObserver.php","1","165"
"app/Http/Controllers/DealNoteController.php","1","164"
"app/Providers/CustomConfigProvider.php","1","164"
"Modules/Sms/Notifications/InvoicePaymentReceived.php","1","164"
"app/Models/Holiday.php","1","164"
"app/Http/Controllers/Payment/AuthorizeController.php","1","164"
"app/Http/Controllers/SuperAdmin/FrontSetting/TestimonialSettingController.php","1","163"
